Table 6,,,,,,,,,,,,,,
Crime in the United States,, ,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2006",,,,,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,
"Abilene, TX M.S.A.1",,"162,776", ,,,,, ,,,,,,
,"Includes Callahan,1 Jones, and Taylor Counties",,,,,,,,,,,,,
,City of Abilene,"118,009",554,5,67,107,375,"5,045","1,282","3,460",303,,,
,Total area actually reporting,100.0%,638,6,75,109,448,"5,741","1,531","3,852",358,,,
,"Rate per 100,000 inhabitants",,391.9,3.7,46.1,67.0,275.2,"3,526.9",940.6,"2,366.4",219.9,,,
"Albany, GA M.S.A.",,"168,071", ,,,,, ,,,,,,
,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties",,,,,,,,,,,,,
,City of Albany,"77,815",553,8,31,243,271,"5,279","1,645","3,235",399,,,
,Total area actually reporting,99.2%,669,11,37,262,359,"7,100","2,149","4,443",508,,,
,Estimated total,100.0%,676,11,37,265,363,"7,171","2,162","4,494",515,,,
,"Rate per 100,000 inhabitants",,402.2,6.5,22.0,157.7,216.0,"4,266.6","1,286.4","2,673.9",306.4,,,
"Albany-Schenectady-Troy, NY M.S.A.",,"851,151",,, ,,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,,,,
,City of Albany,"93,773","1,217",5,50,388,774,"4,820","1,058","3,521",241,,,
,City of Schenectady,"61,444",712,6,52,309,345,"3,449","1,119","1,994",336,,,
,City of Troy,"48,439",373,1,18,120,234,"2,279",614,"1,482",183,,,
,Total area actually reporting,100.0%,"3,165",18,207,964,"1,976","23,349","4,849","17,314","1,186",,,
,"Rate per 100,000 inhabitants",,371.8,2.1,24.3,113.3,232.2,"2,743.2",569.7,"2,034.2",139.3,,,
"Albuquerque, NM M.S.A.",,"808,790", ,,,,, ,,,,,,
,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,,,,
,City of Albuquerque,"500,955","4,550",34,286,"1,171","3,059","31,757","6,352","19,890","5,515",,,
,Total area actually reporting,99.8%,"6,281",72,419,"1,409","4,381","38,978","8,960","23,308","6,710",,,
,Estimated total,100.0%,"6,291",72,420,"1,410","4,389","39,023","8,972","23,336","6,715",,,
,"Rate per 100,000 inhabitants",,777.8,8.9,51.9,174.3,542.7,"4,824.9","1,109.3","2,885.3",830.3,,,
"Alexandria, LA M.S.A.",,"140,250", ,,,,, ,,,,,,
,Includes Grant and Rapides Parishes,,,,,,,,,,,,,
,City of Alexandria,"43,311","1,054",4,29,185,836,"4,494","1,299","2,937",258,,,
,Total area actually reporting,94.2%,"1,434",10,70,205,"1,149","6,895","2,068","4,319",508,,,
,Estimated total,100.0%,"1,497",10,73,216,"1,198","7,358","2,151","4,669",538,,,
,"Rate per 100,000 inhabitants",,"1,067.4",7.1,52.0,154.0,854.2,"5,246.3","1,533.7","3,329.1",383.6,,,
"Altoona, PA M.S.A.",,"126,907", ,,,,, ,,,,,,
,Includes Blair County,,,,,,,,,,,,,
,City of Altoona,"47,218",245,0,32,84,129,"1,502",439,976,87,,,
,Total area actually reporting,94.8%,371,1,48,108,214,"3,051",762,"2,126",163,,,
,Estimated total,100.0%,386,1,49,112,224,"3,192",783,"2,237",172,,,
,"Rate per 100,000 inhabitants",,304.2,0.8,38.6,88.3,176.5,"2,515.2",617.0,"1,762.7",135.5,,,
"Amarillo, TX M.S.A.",,"245,428", ,,,,, ,,,,,,
,"Includes Armstrong, Carson, Potter, and Randall Counties",,,,,,,,,,,,,
,City of Amarillo,"188,208","1,623",5,98,401,"1,119","11,080","2,412","7,617","1,051",,,
,Total area actually reporting,100.0%,"1,722",7,103,406,"1,206","11,879","2,591","8,182","1,106",,,
,"Rate per 100,000 inhabitants",,701.6,2.9,42.0,165.4,491.4,"4,840.1","1,055.7","3,333.8",450.6,,,
"Ames, IA M.S.A.",,"80,377", ,,,,, ,,,,,,
,Includes Story County,,,,,,,,,,,,,
,City of Ames,"52,541",147,0,24,17,106,"1,465",363,"1,061",41,, ,
,Total area actually reporting,100.0%,205,0,35,19,151,"2,140",512,"1,559",69,,,
,"Rate per 100,000 inhabitants", ,255.0,0.0,43.5,23.6,187.9,"2,662.5",637.0,"1,939.6",85.8,,,
"Anchorage, AK M.S.A.",,"294,862", ,,,, , ,,,,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,,,,
,City of Anchorage,"277,692","2,592",17,248,465,"1,862","11,721","1,733","8,543","1,445",,,
,Total area actually reporting,97.1%,"2,675",17,252,478,"1,928","12,214","1,771","8,966","1,477",,,
,Estimated total,100.0%,"2,749",17,256,490,"1,986","12,875","1,835","9,524","1,516",,,
,"Rate per 100,000 inhabitants", ,932.3,5.8,86.8,166.2,673.5,"4,366.4",622.3,"3,230.0",514.1,,,
"Anderson, SC M.S.A.",,"178,243", ,,,,, ,,,,,,
,Includes Anderson County,,,,,,,,,,,,,
,City of Anderson,"26,302",256,4,22,39,191,"1,601",324,"1,144",133,,,
,Total area actually reporting,100.0%,"1,163",18,90,159,896,"8,213","1,952","5,486",775,,,
,"Rate per 100,000 inhabitants",,652.5,10.1,50.5,89.2,502.7,"4,607.8","1,095.1","3,077.8",434.8,,,
"Ann Arbor, MI M.S.A.",,"340,995", ,,,,, ,,,,,,
,Includes Washtenaw County,,,,,,,,,,,,,
,City of Ann Arbor,"112,989",344,0,32,85,227,"2,923",631,"2,119",173,,,
,Total area actually reporting,100.0%,"1,060",9,114,268,669,"9,542","2,061","6,691",790,,,
,"Rate per 100,000 inhabitants", ,310.9,2.6,33.4,78.6,196.2,"2,798.3",604.4,"1,962.2",231.7,,,
"Appleton, WI M.S.A.",,"215,932", ,,,,, ,,,,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,,,,
,City of Appleton,"70,475",188,1,26,26,135,"2,135",381,"1,690",64,,,
,Total area actually reporting,100.0%,273,2,54,39,178,"4,928",696,"4,067",165,,,
,"Rate per 100,000 inhabitants",,126.4,0.9,25.0,18.1,82.4,"2,282.2",322.3,"1,883.5",76.4,,,
"Asheville, NC M.S.A.",,"400,669", ,,,,, ,,,,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties",,,,,,,,,,,,,
,City of Asheville,"73,672",473,4,49,206,214,"4,099",793,"2,834",472,,,
,Total area actually reporting,99.5%,"1,135",11,104,313,707,"11,846","3,482","7,193","1,171",,,
,Estimated total,100.0%,"1,146",11,105,316,714,"11,962","3,510","7,275","1,177",,,
,"Rate per 100,000 inhabitants",,286.0,2.7,26.2,78.9,178.2,"2,985.5",876.0,"1,815.7",293.8,,,
"Athens-Clarke County, GA M.S.A.",,"180,707", ,,,,, ,,,,,,
,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",,,,,,,,,,,,,
,City of Athens-Clarke County,"106,700",373,5,53,125,190,"5,634","1,116","4,154",364,,,
,Total area actually reporting,84.2%,494,7,62,135,290,"6,961","1,302","5,197",462,,,
,Estimated total,100.0%,596,9,68,172,347,"7,856","1,536","5,731",589,,,
,"Rate per 100,000 inhabitants",,329.8,5.0,37.6,95.2,192.0,"4,347.4",850.0,"3,171.4",325.9,,,
"Atlanta-Sandy Springs-Marietta, GA M.S.A.2",,"5,075,647", ,,,,,,,,,,,
,"Includes Barrow,2 Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",,,,,,,,,,,,,
,City of Atlanta,"485,804","7,548",110,171,"2,959","4,308","32,231","7,401","18,952","5,878",,,
,City of Marietta,"63,228",400,1,19,235,145,"2,622",548,"1,626",448,,,
,Total area actually reporting,98.0%,"26,298",372,"1,074","10,451","14,401",,,"115,927","28,114",,,
,Estimated total,100.0%,"26,762",377,"1,098","10,620","14,667",,,"118,849","28,594",,,
,"Rate per 100,000 inhabitants",,527.3,7.4,21.6,209.2,289.0,,,"2,341.6",563.4,,,
"Atlantic City, NJ M.S.A.",,"271,221", ,,,,, ,,,,,,
,Includes Atlantic County,,,,,,,,,,,,,
,City of Atlantic City,"40,399",842,18,46,355,423,"3,859",507,"3,148",204,,,
,Total area actually reporting,100.0%,"1,519",30,79,599,811,"10,534","1,985","8,072",477,,,
,"Rate per 100,000 inhabitants",,560.1,11.1,29.1,220.9,299.0,"3,883.9",731.9,"2,976.2",175.9,,,
"Augusta-Richmond County, GA-SC M.S.A.",,"534,131", ,,,,, ,,,,,,
,"Includes Burke, Columbia, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",,,,,,,,,,,,,
,Total area actually reporting,96.3%,"1,966",31,222,838,875,"23,593","4,952","15,972","2,669",,,
,Estimated total,100.0%,"2,041",32,226,866,917,"24,274","5,117","16,399","2,758",,,
,"Rate per 100,000 inhabitants",,382.1,6.0,42.3,162.1,171.7,"4,544.6",958.0,"3,070.2",516.4,,,
"Austin-Round Rock, TX M.S.A.",,"1,493,692", , ,,,,,,,,,,
,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",,,,,,,,,,,,,
,City of Austin,"709,813","3,658",20,319,"1,358","1,961","41,573","7,467","31,562","2,544",,,
,City of Round Rock,"88,762",104,0,23,31,50,"1,968",277,"1,642",49,,,
,Total area actually reporting,99.9%,"5,154",29,523,"1,565","3,037","58,857","11,422","44,064","3,371",,,
,Estimated total,100.0%,"5,157",29,523,"1,566","3,039","58,892","11,429","44,089","3,374",,,
,"Rate per 100,000 inhabitants",,345.3,1.9,35.0,104.8,203.5,"3,942.7",765.2,"2,951.7",225.9,,,
"Bakersfield, CA M.S.A.",,"763,641", ,,,,, ,,,,,,
,Includes Kern County,,,,,,,,,,,,,
,City of Bakersfield,"298,198","1,575",24,43,549,959,"15,915","3,729","9,623","2,563",,,
,Total area actually reporting,100.0%,"4,189",65,201,"1,059","2,864","33,464","8,712","18,991","5,761",,,
,"Rate per 100,000 inhabitants",,548.6,8.5,26.3,138.7,375.0,"4,382.2","1,140.9","2,486.9",754.4,,,
"Baltimore-Towson, MD M.S.A.",,"2,662,948", ,,,,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,,,,
,City of Baltimore,"637,556","10,816",276,138,"4,229","6,173","32,321","7,608","18,451","6,262",,,
,Total area actually reporting,100.0%,"21,937",355,501,"7,842","13,239","92,748","19,052","60,997","12,699",,,
,"Rate per 100,000 inhabitants",,823.8,13.3,18.8,294.5,497.2,"3,482.9",715.4,"2,290.6",476.9,,,
"Bangor, ME M.S.A.",,"147,076", ,,,,, ,,,,,,
,Includes Penobscot County,,,,,,,,,,,,,
,City of Bangor,"31,076",52,2,1,24,25,"1,897",216,"1,633",48,,,
,Total area actually reporting,100.0%,111,3,14,33,61,"4,626",784,"3,699",143,,,
,"Rate per 100,000 inhabitants",,75.5,2.0,9.5,22.4,41.5,"3,145.3",533.1,"2,515.0",97.2,,,
"Barnstable Town, MA M.S.A.3",,"227,875", ,,,,, ,,,,,,
,Includes Barnstable County,,,,,,,,,,,,,
,City of Barnstable,"48,113",330,1,33,32,264,"1,320",508,725,87,,,
,Total area actually reporting,97.5%,,4,61,85,,"6,006","2,186","3,497",323,,,
,Estimated total,100.0%,,4,62,89,,"6,116","2,213","3,569",334,,,
,"Rate per 100,000 inhabitants",,,1.8,27.2,39.1,,"2,683.9",971.1,"1,566.2",146.6,,,
"Baton Rouge, LA M.S.A.",,"695,541", ,,,,, ,,,,,,
,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,,,,
,City of Baton Rouge,"210,486","2,954",57,93,"1,049","1,755","14,684","4,021","9,209","1,454",,,
,Total area actually reporting,92.4%,"5,411",95,219,"1,461","3,636","32,566","7,971","21,781","2,814",,,
,Estimated total,100.0%,"5,711",100,236,"1,509","3,866","34,601","8,443","23,173","2,985",,,
,"Rate per 100,000 inhabitants",,821.1,14.4,33.9,217.0,555.8,"4,974.7","1,213.9","3,331.7",429.2,,,
"Battle Creek, MI M.S.A.",,"138,844", ,,,,, ,,,,,,
,Includes Calhoun County,,,,,,,,,,,,,
,City of Battle Creek,"62,628",781,7,67,116,591,"3,477",831,"2,428",218,,,
,Total area actually reporting,100.0%,"1,104",11,103,153,837,"5,707","1,366","4,011",330,,,
,"Rate per 100,000 inhabitants",,795.1,7.9,74.2,110.2,602.8,"4,110.4",983.8,"2,888.9",237.7,,,
"Bay City, MI M.S.A.",,"108,757", ,,,,, ,,,,,,
,Includes Bay County,,,,,,,,,,,,,
,City of Bay City,"34,792",145,0,29,32,84,"1,340",340,880,120,,,
,Total area actually reporting,100.0%,280,2,64,50,164,"2,819",662,"1,940",217,,,
,"Rate per 100,000 inhabitants",,257.5,1.8,58.8,46.0,150.8,"2,592.0",608.7,"1,783.8",199.5,,,
"Beaumont-Port Arthur, TX M.S.A.",,"394,399",,,,,,,,,,,,
,"Includes Hardin, Jefferson, and Orange Counties",,,,,,,,,,,,,
,City of Beaumont,"114,967","1,155",10,75,344,726,"6,962","1,887","4,525",550,,,
,City of Port Arthur,"58,290",394,2,12,140,240,"2,075",814,"1,014",247,,,
,Total area actually reporting,100.0%,"2,228",18,162,618,"1,430","15,678","4,531","9,750","1,397",,,
,"Rate per 100,000 inhabitants",,564.9,4.6,41.1,156.7,362.6,"3,975.2","1,148.8","2,472.1",354.2,,,
"Bellingham, WA M.S.A.",,"186,623", ,,,,, ,,,,,,
,Includes Whatcom County,,,,,,,,,,,,,
,City of Bellingham,"75,828",196,0,33,76,87,"5,334",791,"4,267",276,,,
,Total area actually reporting,100.0%,432,1,76,98,257,"8,840","1,818","6,504",518,,,
,"Rate per 100,000 inhabitants",,231.5,0.5,40.7,52.5,137.7,"4,736.8",974.2,"3,485.1",277.6,,,
"Bend, OR M.S.A.",,"143,700", ,,,,, ,,,,,,
,Includes Deschutes County,,,,,,,,,,,,,
,City of Bend,"68,253",149,1,22,32,94,"2,912",489,"2,193",230,,,
,Total area actually reporting,100.0%,313,2,43,48,220,"5,111",964,"3,771",376,,,
,"Rate per 100,000 inhabitants",,217.8,1.4,29.9,33.4,153.1,"3,556.7",670.8,"2,624.2",261.7,,,
"Billings, MT M.S.A.",,"147,997", ,, ,,, ,,,,,,
,Includes Carbon and Yellowstone Counties,,,,,,,,,,,,,
,City of Billings,"99,667",209,2,28,44,135,"4,304",465,"3,518",321,,,
,Total area actually reporting,99.1%,268,3,37,48,180,"5,284",605,"4,288",391,,,
,Estimated total,100.0%,272,3,38,48,183,"5,327",609,"4,324",394,,,
,"Rate per 100,000 inhabitants",,183.8,2.0,25.7,32.4,123.7,"3,599.4",411.5,"2,921.7",266.2,,,
"Binghamton, NY M.S.A.",,"249,087", ,,,,, ,,,,,,
,Includes Broome and Tioga Counties,,,,,,,,,,,,,
,City of Binghamton,"45,614",206,2,9,63,132,"2,353",288,"2,016",49,,,
,Total area actually reporting,100.0%,529,6,68,117,338,"6,438",983,"5,307",148,,,
,"Rate per 100,000 inhabitants",,212.4,2.4,27.3,47.0,135.7,"2,584.6",394.6,"2,130.6",59.4,,,
"Birmingham-Hoover, AL M.S.A.",,"1,099,986",,,,,,,,,,,,
,"Includes Bibb, Blount, Chilton, Jefferson, St. Clair, Shelby, and Walker Counties",,,,,,,,,,,,,
,City of Birmingham,"233,577","3,175",104,220,"1,429","1,422","19,007","4,813","12,113","2,081",,,
,City of Hoover,"68,079",129,2,17,81,29,"2,387",312,"1,917",158,,,
,Total area actually reporting,89.1%,"5,742",132,451,"2,413","2,746","43,189","10,618","28,457","4,114",,,
,Estimated total,100.0%,"6,187",138,487,"2,572","2,990","47,475","11,565","31,463","4,447",,,
,"Rate per 100,000 inhabitants",,562.5,12.5,44.3,233.8,271.8,"4,316.0","1,051.4","2,860.3",404.3,,,
"Bismarck, ND M.S.A.",,"99,220", ,,,,, ,,,,,,
,Includes Burleigh and Morton Counties,,,,,,,,,,,,,
,City of Bismarck,"57,304",138,1,15,10,112,"1,590",256,"1,242",92,,,
,Total area actually reporting,100.0%,191,2,29,11,149,"2,224",412,"1,678",134,,,
,"Rate per 100,000 inhabitants",,192.5,2.0,29.2,11.1,150.2,"2,241.5",415.2,"1,691.2",135.1,,,
"Blacksburg-Christiansburg-Radford, VA M.S.A.",,"152,562",,,,,,,,,,,,
,"Includes Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,,,,
,City of Blacksburg,"39,520",76,1,17,10,48,634,117,477,40,,,
,City of Christiansburg,"18,105",29,0,7,9,13,631,98,509,24,,,
,City of Radford,"14,720",55,1,8,7,39,540,111,401,28,,,
,Total area actually reporting,99.5%,321,8,64,50,199,"3,971",743,"3,013",215,,,
,Estimated total,100.0%,324,8,64,51,201,"3,997",747,"3,033",217,,,
,"Rate per 100,000 inhabitants",,212.4,5.2,42.0,33.4,131.7,"2,619.9",489.6,"1,988.0",142.2,,,
"Bloomington, IN M.S.A.",,"178,886", ,,,,, ,,,,,,
,"Includes Greene, Monroe, and Owen Counties",,,,,,,,,,,,,
,City of Bloomington,"69,474",238,1,26,65,146,"2,884",663,"2,077",144,,,
,Total area actually reporting,95.3%,400,4,45,79,272,"4,972","1,282","3,452",238,,,
,Estimated total,100.0%,425,4,47,87,287,"5,293","1,334","3,694",265,,,
,"Rate per 100,000 inhabitants", ,237.6,2.2,26.3,48.6,160.4,"2,958.9",745.7,"2,065.0",148.1,,,
"Boise City-Nampa, ID M.S.A.",,"558,432",,,,,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",,,,,,,,,,,,,
,City of Boise,"198,212",772,6,127,111,528,"6,616","1,165","5,074",377,,,
,City of Nampa,"73,588",240,3,41,31,165,"2,488",538,"1,658",292,,,
,Total area actually reporting,99.5%,"1,601",15,259,185,"1,142","15,110","3,274","10,645","1,191",,,
,Estimated total,100.0%,"1,610",15,260,186,"1,149","15,193","3,292","10,704","1,197",,,
,"Rate per 100,000 inhabitants",,288.3,2.7,46.6,33.3,205.8,"2,720.7",589.5,"1,916.8",214.4,,,
"Bowling Green, KY M.S.A.",,"111,859", ,,,,, ,,,,,,
,Includes Edmonson and Warren Counties,,,,,,,,,,,,,
,City of Bowling Green,"52,681",369,5,59,103,202,"2,735",559,"2,033",143,,,
,Total area actually reporting,100.0%,393,5,60,108,220,"3,655",783,"2,679",193,,,
,"Rate per 100,000 inhabitants",,351.3,4.5,53.6,96.6,196.7,"3,267.5",700.0,"2,395.0",172.5,,,
"Bremerton-Silverdale, WA M.S.A.",,"244,796",,,,,,,,,,,,
,Includes Kitsap County,,,,,,,,,,,,,
