Table 6,,,,,,,,,,,
Crime in the United States, ,,,,,,,,,,
"by Metropolitan Statistical Area, 2007",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
"Abilene, TX M.S.A.",,"157,713", ,,,,, ,,,
,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
,City of Abilene,"114,644",661,9,89,167,396,"4,911","1,324","3,295",292
,Total area actually reporting,100.0%,748,10,103,173,462,"5,657","1,606","3,708",343
,"Rate per 100,000 inhabitants",,474.3,6.3,65.3,109.7,292.9,"3,586.9","1,018.3","2,351.1",217.5
"Akron, OH M.S.A.",,"699,760", ,,,,, ,,,
,Includes Portage and Summit Counties,,,,,,,,,,
,City of Akron,"208,701","1,567",22,174,730,641,"10,494","3,319","5,973","1,202"
,Total area actually reporting,88.5%,"2,046",23,286,899,838,"21,164","5,348","14,087","1,729"
,Estimated total,100.0%,"2,191",25,309,955,902,"23,494","5,779","15,856","1,859"
,"Rate per 100,000 inhabitants",,313.1,3.6,44.2,136.5,128.9,"3,357.4",825.9,"2,265.9",265.7
"Albany, GA M.S.A.",,"164,983", ,,,,, ,,,
,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties",,,,,,,,,,
,City of Albany,"75,137",637,12,32,205,388,"5,503","1,519","3,616",368
,Total area actually reporting,99.2%,772,15,39,226,492,"7,514","2,089","4,914",511
,Estimated total,100.0%,779,15,39,229,496,"7,578","2,101","4,960",517
,"Rate per 100,000 inhabitants",,472.2,9.1,23.6,138.8,300.6,"4,593.2","1,273.5","3,006.4",313.4
"Albany-Schenectady-Troy, NY M.S.A.",,"852,141",,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
,City of Albany,"93,916","1,128",3,45,376,704,"4,249",965,"2,998",286
,City of Schenectady,"61,535",606,5,34,265,302,"2,947",806,"1,851",290
,City of Troy,"47,776",345,2,21,131,191,"2,203",581,"1,449",173
,Total area actually reporting,99.9%,"2,885",13,180,900,"1,792","21,190","4,202","15,874","1,114"
,Estimated total,100.0%,"2,887",13,180,901,"1,793","21,209","4,205","15,889","1,115"
,"Rate per 100,000 inhabitants",,338.8,1.5,21.1,105.7,210.4,"2,488.9",493.5,"1,864.6",130.8
"Albuquerque, NM M.S.A.1",,"827,275", ,,,,, ,,,
,"Includes Bernalillo, Sandoval,1 Torrance, and Valencia Counties",,,,,,,,,,
,City of Albuquerque,"513,124","5,080",47,307,"1,439","3,287","29,293","5,622","18,632","5,039"
,Total area actually reporting,100.0%,,68,436,"1,683",,"37,720","8,281","23,114","6,325"
,"Rate per 100,000 inhabitants",,,8.2,52.7,203.4,,"4,559.5","1,001.0","2,794.0",764.6
"Alexandria, LA M.S.A.",,"150,253", ,,,,, ,,,
,Includes Grant and Rapides Parishes,,,,,,,,,,
,City of Alexandria,"45,720","1,065",8,16,175,866,"4,246","1,099","2,966",181
,Total area actually reporting,94.2%,"1,342",9,41,192,"1,100","6,252","1,655","4,190",407
,Estimated total,100.0%,"1,403",10,44,201,"1,148","6,712","1,740","4,538",434
,"Rate per 100,000 inhabitants",,933.8,6.7,29.3,133.8,764.0,"4,467.1","1,158.0","3,020.2",288.8
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",,"805,542",,,,,,,,,
,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",,,,,,,,,,
,"City of Allentown, PA","107,397",869,20,20,552,277,"5,331","1,335","3,462",534
,"City of Bethlehem, PA","72,908",270,6,24,100,140,"2,288",439,"1,721",128
,Total area actually reporting,97.1%,"2,035",37,111,863,"1,024","19,205","3,285","14,742","1,178"
,Estimated total,100.0%,"2,086",37,114,877,"1,058","19,668","3,355","15,108","1,205"
,"Rate per 100,000 inhabitants",,259.0,4.6,14.2,108.9,131.3,"2,441.6",416.5,"1,875.5",149.6
"Altoona, PA M.S.A.",,"125,800", ,,,,, ,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,"46,609",184,1,20,77,86,"1,318",428,824,66
,Total area actually reporting,93.3%,353,3,32,93,225,"2,636",664,"1,847",125
,Estimated total,100.0%,372,3,33,98,238,"2,807",690,"1,982",135
,"Rate per 100,000 inhabitants",,295.7,2.4,26.2,77.9,189.2,"2,231.3",548.5,"1,575.5",107.3
"Amarillo, TX M.S.A.",,"243,547", ,,,,, ,,,
,"Includes Armstrong, Carson, Potter, and Randall Counties",,,,,,,,,,
,City of Amarillo,"187,234","1,834",19,127,431,"1,257","11,369","2,585","7,554","1,230"
,Total area actually reporting,100.0%,"1,923",19,140,436,"1,328","12,248","2,777","8,168","1,303"
,"Rate per 100,000 inhabitants",,789.6,7.8,57.5,179.0,545.3,"5,029.0","1,140.2","3,353.8",535.0
"Ames, IA M.S.A.",,"80,075", ,,,,, ,,,
,Includes Story County,,,,,,,,,,
,City of Ames,"51,622",200,2,18,12,168,"1,602",500,"1,040",62
,Total area actually reporting,100.0%,258,2,26,17,213,"2,249",631,"1,512",106
,"Rate per 100,000 inhabitants",,322.2,2.5,32.5,21.2,266.0,"2,808.6",788.0,"1,888.2",132.4
"Anchorage, AK M.S.A.",,"303,996", ,,,,, ,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,"284,142","2,405",22,257,453,"1,673","11,107","1,454","8,397","1,256"
,Total area actually reporting,100.0%,"2,526",22,264,458,"1,782","12,167","1,548","9,268","1,351"
,"Rate per 100,000 inhabitants",,830.9,7.2,86.8,150.7,586.2,"4,002.4",509.2,"3,048.7",444.4
"Anderson, IN M.S.A.",,"130,125", ,,,,, ,,,
,Includes Madison County,,,,,,,,,,
,City of Anderson,"57,189",203,3,27,82,91,"2,931",651,"2,065",215
,Total area actually reporting,100.0%,236,4,32,88,112,"4,179",961,"2,937",281
,"Rate per 100,000 inhabitants",,181.4,3.1,24.6,67.6,86.1,"3,211.5",738.5,"2,257.1",215.9
"Anderson, SC M.S.A.",,"181,370", ,,,,, ,,,
,Includes Anderson County,,,,,,,,,,
,City of Anderson,"26,326",280,1,15,43,221,"1,652",361,"1,161",130
,Total area actually reporting,100.0%,"1,183",5,65,141,972,"9,357","2,570","5,890",897
,"Rate per 100,000 inhabitants",,652.3,2.8,35.8,77.7,535.9,"5,159.1","1,417.0","3,247.5",494.6
"Ann Arbor, MI M.S.A.",,"345,430", ,,,,, ,,,
,Includes Washtenaw County,,,,,,,,,,
,City of Ann Arbor,"113,011",298,0,30,66,202,"2,777",572,"2,046",159
,Total area actually reporting,100.0%,"1,159",6,153,263,737,"9,179","2,124","6,328",727
,"Rate per 100,000 inhabitants",,335.5,1.7,44.3,76.1,213.4,"2,657.3",614.9,"1,831.9",210.5
"Appleton, WI M.S.A.",,"220,208", ,,,,, ,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,"70,169",146,0,26,23,97,"2,379",413,"1,883",83
,Total area actually reporting,100.0%,232,1,50,36,145,"5,673",767,"4,704",202
,"Rate per 100,000 inhabitants",,105.4,0.5,22.7,16.3,65.8,"2,576.2",348.3,"2,136.2",91.7
"Asheville, NC M.S.A.",,"405,975", ,,,,, ,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties",,,,,,,,,,
,City of Asheville,"72,907",505,10,27,229,239,"4,249","1,014","2,818",417
,Total area actually reporting,99.5%,"1,137",21,84,329,703,"11,556","3,373","7,228",955
,Estimated total,100.0%,"1,147",21,85,332,709,"11,671","3,401","7,309",961
,"Rate per 100,000 inhabitants",,282.5,5.2,20.9,81.8,174.6,"2,874.8",837.7,"1,800.4",236.7
"Athens-Clarke County, GA M.S.A.",,"188,310", ,,,,, ,,,
,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",,,,,,,,,,
,City of Athens-Clarke County,"113,389",435,7,38,142,248,"5,493","1,306","3,836",351
,Total area actually reporting,84.1%,577,10,45,149,373,"6,916","1,535","4,943",438
,Estimated total,100.0%,685,12,50,192,431,"7,868","1,789","5,515",564
,"Rate per 100,000 inhabitants",,363.8,6.4,26.6,102.0,228.9,"4,178.2",950.0,"2,928.7",299.5
"Atlanta-Sandy Springs-Marietta, GA M.S.A.1",,"5,276,703",,,,,,,,,
,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar,1 Meriwether, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton1 Counties",,,,,,,,,,
,City of Atlanta,"497,290","8,075",129,148,"3,577","4,221","36,232","8,859","20,353","7,020"
,City of Sandy Springs,"85,830",229,6,24,151,48,"3,416",803,"2,317",296
,City of Marietta,"63,523",479,4,16,297,162,"2,579",618,"1,553",408
,Total area actually reporting,99.0%,,455,"1,053","12,205",,"201,636","51,732","121,090","28,814"
,Estimated total,100.0%,,458,"1,066","12,304",,"203,925","52,217","122,658","29,050"
,"Rate per 100,000 inhabitants",,,8.7,20.2,233.2,,"3,864.6",989.6,"2,324.5",550.5
"Atlantic City-Hammonton, NJ M.S.A.",,"270,417", ,,,,, ,,,
,Includes Atlantic County,,,,,,,,,,
,City of Atlantic City,"39,781",860,6,28,456,370,"2,902",545,"2,157",200
,City of Hammonton ,"13,512",20,0,1,4,15,161,36,114,11
,Total area actually reporting,100.0%,"1,594",15,65,681,833,"9,694","2,020","7,175",499
,"Rate per 100,000 inhabitants",,589.5,5.5,24.0,251.8,308.0,"3,584.8",747.0,"2,653.3",184.5
"Auburn-Opelika, AL M.S.A.",,"127,500",,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Auburn,"53,160",176,2,25,44,105,"2,559",630,"1,838",91
,City of Opelika,"24,600",308,5,36,62,205,"1,551",284,"1,224",43
,Total area actually reporting,100.0%,617,8,72,137,400,"5,275","1,282","3,740",253
,"Rate per 100,000 inhabitants",,483.9,6.3,56.5,107.5,313.7,"4,137.3","1,005.5","2,933.3",198.4
"Augusta-Richmond County, GA-SC M.S.A.",,"528,421", ,,,,, ,,,
,"Includes Burke, Columbia, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,99.4%,"2,202",37,223,888,"1,054","24,773","5,286","16,695","2,792"
,Estimated total,100.0%,"2,219",37,224,894,"1,064","24,915","5,313","16,797","2,805"
,"Rate per 100,000 inhabitants",,419.9,7.0,42.4,169.2,201.4,"4,715.0","1,005.4","3,178.7",530.8
"Austin-Round Rock, TX M.S.A.",,"1,553,472",,,,,,,,,
,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",, ,,,,,,,,
,City of Austin,"716,817","3,871",30,328,"1,457","2,056","45,453","8,031","34,461","2,961"
,City of Round Rock,"97,727",112,1,21,23,67,"2,400",333,"1,997",70
,Total area actually reporting,100.0%,"5,345",43,522,"1,672","3,108","64,102","12,253","48,005","3,844"
,"Rate per 100,000 inhabitants",,344.1,2.8,33.6,107.6,200.1,"4,126.4",788.7,"3,090.2",247.4
"Bakersfield, CA M.S.A.",,"792,216", ,,,,, ,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,"318,743","1,961",15,41,629,"1,276","16,058","3,537","9,853","2,668"
,Total area actually reporting,100.0%,"4,590",50,181,"1,132","3,227","32,033","8,200","18,509","5,324"
,"Rate per 100,000 inhabitants",,579.4,6.3,22.8,142.9,407.3,"4,043.5","1,035.1","2,336.4",672.0
"Baltimore-Towson, MD M.S.A.",,"2,652,974",,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,"624,237","10,182",282,146,"3,895","5,859","29,939","7,381","16,742","5,816"
,Total area actually reporting,100.0%,"20,985",355,512,"7,139","12,979","92,057","18,977","60,970","12,110"
,"Rate per 100,000 inhabitants",,791.0,13.4,19.3,269.1,489.2,"3,470.0",715.3,"2,298.2",456.5
"Bangor, ME M.S.A.",,"146,242", ,,,,, ,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,"30,940",46,1,4,24,17,"1,905",208,"1,655",42
,Total area actually reporting,100.0%,90,3,14,34,39,"4,779",775,"3,869",135
,"Rate per 100,000 inhabitants",,61.5,2.1,9.6,23.2,26.7,"3,267.9",529.9,"2,645.6",92.3
"Barnstable Town, MA M.S.A.",,"225,323", ,,,,, ,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable ,"47,342",301,2,17,25,257,"1,252",439,717,96
,Total area actually reporting,100.0%,859,2,60,71,726,"6,054","2,108","3,653",293
,"Rate per 100,000 inhabitants",,381.2,0.9,26.6,31.5,322.2,"2,686.8",935.5,"1,621.2",130.0
"Baton Rouge, LA M.S.A.",,"770,283", ,,,,, ,,,
,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,
,City of Baton Rouge,"228,446","2,615",71,72,"1,015","1,457","13,643","3,847","8,617","1,179"
,Total area actually reporting,95.0%,"5,396",135,177,"1,382","3,702","32,363","7,995","21,970","2,398"
,Estimated total,100.0%,"5,609",138,189,"1,415","3,867","33,857","8,320","23,024","2,513"
,"Rate per 100,000 inhabitants",,728.2,17.9,24.5,183.7,502.0,"4,395.4","1,080.1","2,989.0",326.2
"Battle Creek, MI M.S.A.",,"137,388", ,,,,, ,,,
,Includes Calhoun County,,,,,,,,,,
,City of Battle Creek,"62,143",818,3,89,130,596,"3,591","1,001","2,397",193
,Total area actually reporting,100.0%,"1,186",11,133,170,872,"5,662","1,457","3,899",306
,"Rate per 100,000 inhabitants",,863.2,8.0,96.8,123.7,634.7,"4,121.2","1,060.5","2,837.9",222.7
"Bay City, MI M.S.A.",,"107,654", ,,,,, ,,,
,Includes Bay County,,,,,,,,,,
,City of Bay City,"34,145",164,1,20,50,93,"1,170",298,792,80
,Total area actually reporting,100.0%,288,4,59,62,163,"2,684",594,"1,911",179
,"Rate per 100,000 inhabitants",,267.5,3.7,54.8,57.6,151.4,"2,493.2",551.8,"1,775.1",166.3
"Beaumont-Port Arthur, TX M.S.A.",,"378,783",,,,,,,,,
,"Includes Hardin, Jefferson, and Orange Counties",, ,,,,,,,,
