Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2009",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
"Abilene, TX M.S.A.",,"159,632", ,,,,, ,,,
,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
,City of Abilene,"116,557",658,7,114,137,400,"4,830","1,301","3,267",262
,Total area actually reporting,100.0%,741,7,134,146,454,"5,607","1,488","3,816",303
,"Rate per 100,000 inhabitants",,464.2,4.4,83.9,91.5,284.4,"3,512.5",932.1,"2,390.5",189.8
"Akron, OH M.S.A.",,"700,932", ,,,,, ,,,
,Includes Portage and Summit Counties,,,,,,,,,,
,City of Akron,"206,497","1,916",20,189,727,980,"10,485","3,759","5,763",963
,Total area actually reporting,92.6%,"2,414",27,298,880,"1,209","21,455","5,805","14,302","1,348"
,Estimated total,100.0%,"2,503",28,311,916,"1,248","22,909","6,095","15,408","1,406"
,"Rate per 100,000 inhabitants",,357.1,4.0,44.4,130.7,178.0,"3,268.4",869.6,"2,198.2",200.6
"Albany, GA M.S.A.",,"165,165", ,,,,, ,,,
,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties",,,,,,,,,,
,City of Albany,"75,734",812,8,47,221,536,"4,788","1,451","3,048",289
,Total area actually reporting,97.4%,941,9,65,245,622,"6,994","2,137","4,438",419
,Estimated total,100.0%,957,9,66,251,631,"7,140","2,176","4,532",432
,"Rate per 100,000 inhabitants",,579.4,5.4,40.0,152.0,382.0,"4,322.9","1,317.5","2,743.9",261.6
"Albany-Schenectady-Troy, NY M.S.A.",,"856,725",,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
,City of Albany,"93,445","1,007",9,49,327,622,"4,264",876,"3,149",239
,City of Schenectady,"61,087",592,7,31,243,311,"3,336",822,"2,299",215
,City of Troy,"47,268",350,3,17,155,175,"2,340",608,"1,612",120
,Total area actually reporting,100.0%,"2,655",24,162,885,"1,584","21,873","4,093","16,919",861
,"Rate per 100,000 inhabitants",,309.9,2.8,18.9,103.3,184.9,"2,553.1",477.7,"1,974.8",100.5
"Albuquerque, NM M.S.A.",,"862,190", ,,,,, ,,,
,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,
,City of Albuquerque,"530,636","4,082",56,326,"1,103","2,597","29,140","6,376","19,365","3,399"
,Total area actually reporting,97.2%,"5,498",67,412,"1,255","3,764","36,529","9,055","23,195","4,279"
,Estimated total,100.0%,"5,625",68,421,"1,267","3,869","37,368","9,260","23,768","4,340"
,"Rate per 100,000 inhabitants",,652.4,7.9,48.8,147.0,448.7,"4,334.1","1,074.0","2,756.7",503.4
"Alexandria, LA M.S.A.",,"154,999", ,,,,, ,,,
,Includes Grant and Rapides Parishes,,,,,,,,,,
,City of Alexandria,"48,886",586,6,17,176,387,"4,117","1,133","2,862",122
,Total area actually reporting,94.0%,973,9,39,198,727,"6,621","1,773","4,555",293
,Estimated total,100.0%,"1,039",10,41,206,782,"7,078","1,863","4,905",310
,"Rate per 100,000 inhabitants",,670.3,6.5,26.5,132.9,504.5,"4,566.5","1,201.9","3,164.5",200.0
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",,"817,689",,,,,,,,,
,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",,,,,,,,,,
,"City of Allentown, PA","107,326",749,13,72,474,190,"5,270","1,414","3,385",471
,"City of Bethlehem, PA","72,349",219,1,16,96,106,"1,932",365,"1,443",124
,Total area actually reporting,100.0%,"1,992",24,165,798,"1,005","19,065","3,489","14,517","1,059"
,"Rate per 100,000 inhabitants",,243.6,2.9,20.2,97.6,122.9,"2,331.6",426.7,"1,775.4",129.5
"Altoona, PA M.S.A.",,"125,069", ,,,,, ,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,"45,793",169,1,20,43,105,974,260,657,57
,Total area actually reporting,100.0%,349,3,39,58,249,"2,368",444,"1,812",112
,"Rate per 100,000 inhabitants",,279.0,2.4,31.2,46.4,199.1,"1,893.4",355.0,"1,448.8",89.6
"Amarillo, TX M.S.A.",,"246,040", ,,,,, ,,,
,"Includes Armstrong, Carson, Potter, and Randall Counties",,,,,,,,,,
,City of Amarillo,"188,767","1,580",10,99,352,"1,119","11,039","2,561","7,768",710
,Total area actually reporting,100.0%,"1,661",13,108,358,"1,182","11,864","2,801","8,307",756
,"Rate per 100,000 inhabitants",,675.1,5.3,43.9,145.5,480.4,"4,822.0","1,138.4","3,376.3",307.3
"Ames, IA M.S.A.",,"87,399", ,,,,, ,,,
,Includes Story County,,,,,,,,,,
,City of Ames,"57,173",177,0,23,15,139,"1,613",279,"1,285",49
,Total area actually reporting,100.0%,228,0,32,20,176,"2,280",430,"1,786",64
,"Rate per 100,000 inhabitants",,260.9,0.0,36.6,22.9,201.4,"2,608.7",492.0,"2,043.5",73.2
"Anchorage, AK M.S.A.",,"305,284", ,,,,, ,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,"283,300","2,488",14,282,534,"1,658","10,316","1,613","7,835",868
,Total area actually reporting,100.0%,"2,606",14,289,543,"1,760","11,210","1,724","8,570",916
