Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2011",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Abilene, TX M.S.A.",,"168,729", ,,,,, ,,,
,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
,City of Abilene,"119,526",428,5,33,120,270,"4,384","1,119","3,093",172
,Total area actually reporting,100.0%,502,5,36,122,339,"5,112","1,338","3,569",205
,"Rate per 100,000 inhabitants",,297.5,3.0,21.3,72.3,200.9,"3,029.7",793.0,"2,115.2",121.5
"Akron, OH M.S.A.",,"703,715", ,,,,, ,,,
,Includes Portage and Summit Counties,,,,,,,,,,
,City of Akron,"199,256","1,779",27,165,718,869,"10,864","4,268","5,790",806
,Total area actually reporting,91.6%,"2,192",32,248,865,"1,047","21,531","6,436","13,891","1,204"
,Estimated total,100.0%,"2,281",33,261,900,"1,087","23,158","6,771","15,125","1,262"
,"Rate per 100,000 inhabitants",,324.1,4.7,37.1,127.9,154.5,"3,290.8",962.2,"2,149.3",179.3
"Albany, GA M.S.A.",,"159,379", ,,,,, ,,,
,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties",,,,,,,,,,
,City of Albany,"78,454",640,13,37,176,414,"4,719","1,332","3,174",213
,Total area actually reporting,99.4%,838,16,51,201,570,"6,918","1,958","4,631",329
,Estimated total,100.0%,841,16,51,202,572,"6,958","1,966","4,660",332
,"Rate per 100,000 inhabitants",,527.7,10.0,32.0,126.7,358.9,"4,365.7","1,233.5","2,923.8",208.3
"Albany-Schenectady-Troy, NY M.S.A.",,"874,629",,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
,City of Albany,"98,296",939,4,33,320,582,"4,611",895,"3,514",202
,City of Schenectady,"66,432",633,4,43,204,382,"3,098",904,"2,011",183
,City of Troy,"50,354",371,0,23,112,236,"2,318",775,"1,442",101
,Total area actually reporting,100.0%,"2,472",13,157,763,"1,539","21,818","4,480","16,592",746
,"Rate per 100,000 inhabitants",,282.6,1.5,18.0,87.2,176.0,"2,494.5",512.2,"1,897.0",85.3
"Albuquerque, NM M.S.A.",,"897,005", ,,,,, ,,,
,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,
,City of Albuquerque,"551,961","4,207",35,264,998,"2,910","27,976","5,985","19,168","2,823"
,Total area actually reporting,100.0%,"5,938",45,355,"1,168","4,370","36,335","8,561","24,236","3,538"
,"Rate per 100,000 inhabitants",,662.0,5.0,39.6,130.2,487.2,"4,050.7",954.4,"2,701.9",394.4
"Alexandria, LA M.S.A.",,"155,330", ,,,,, ,,,
,Includes Grant and Rapides Parishes,,,,,,,,,,
,City of Alexandria,"48,159",651,2,11,159,479,"3,560",869,"2,517",174
,Total area actually reporting,98.1%,"1,037",5,52,180,800,"6,663","1,726","4,520",417
,Estimated total,100.0%,"1,053",5,53,182,813,"6,795","1,752","4,622",421
,"Rate per 100,000 inhabitants",,677.9,3.2,34.1,117.2,523.4,"4,374.6","1,127.9","2,975.6",271.0
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",,"823,807",,,,,,,,,
,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",,,,,,,,,,
,"City of Allentown, PA","118,408",647,10,61,339,237,"4,575","1,101","3,041",433
,"City of Bethlehem, PA","75,221",219,3,17,97,102,"1,862",371,"1,405",86
,Total area actually reporting,99.9%,"1,764",23,154,609,978,"18,758","3,191","14,601",966
,Estimated total,100.0%,"1,765",23,154,609,979,"18,765","3,192","14,607",966
,"Rate per 100,000 inhabitants",,214.2,2.8,18.7,73.9,118.8,"2,277.8",387.5,"1,773.1",117.3
"Altoona, PA M.S.A.",,"127,494", ,,,,, ,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,"46,468",143,0,26,39,78,"1,090",301,745,44
,Total area actually reporting,100.0%,326,2,56,48,220,"2,529",527,"1,922",80
,"Rate per 100,000 inhabitants",,255.7,1.6,43.9,37.6,172.6,"1,983.6",413.4,"1,507.5",62.7
