Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2013",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Abilene, TX M.S.A.",,"168,117", ,,,,, ,,,
,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
,City of Abilene,"119,401",477,1,37,125,314,"4,769","1,055","3,460",254
,Total area actually reporting,100.0%,560,1,43,128,388,"5,522","1,323","3,907",292
,"Rate per 100,000 inhabitants",,333.1,0.6,25.6,76.1,230.8,"3,284.6",787.0,"2,324.0",173.7
"Akron, OH M.S.A.",,"703,468", ,,,,, ,,,
,Includes Portage and Summit Counties,,,,,,,,,,
,City of Akron,"198,405","1,570",23,160,528,859,"9,649","3,096","5,922",631
,Total area actually reporting,91.0%,"2,003",35,256,660,"1,052","18,915","4,798","13,252",865
,Estimated total,100.0%,"2,091",36,270,695,"1,090","20,563","5,122","14,520",921
,"Rate per 100,000 inhabitants",,297.2,5.1,38.4,98.8,154.9,"2,923.1",728.1,"2,064.1",130.9
"Albany, GA M.S.A.",,"157,365", ,,,,, ,,,
,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties",,,,,,,,,,
,City of Albany,"77,365",749,8,21,183,537,"4,661","1,319","3,169",173
,Total area actually reporting,96.0%,"1,010",9,36,215,750,"6,896","1,963","4,658",275
,Estimated total,100.0%,"1,031",9,37,223,762,"7,115","2,010","4,813",292
,"Rate per 100,000 inhabitants",,655.2,5.7,23.5,141.7,484.2,"4,521.3","1,277.3","3,058.5",185.6
"Albany, OR M.S.A.",,"119,155", ,,,,, ,,,
,Includes Linn County,,,,,,,,,,
,City of Albany,"51,645",40,0,8,27,5,"2,019",252,"1,625",142
,Total area actually reporting,100.0%,97,1,18,45,33,"4,018",750,"2,976",292
,"Rate per 100,000 inhabitants",,81.4,0.8,15.1,37.8,27.7,"3,372.1",629.4,"2,497.6",245.1
"Albany-Schenectady-Troy, NY M.S.A.",,"876,869",,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
,City of Albany,"97,956",791,8,30,227,526,"4,090",705,"3,243",142
,City of Schenectady,"66,041",607,8,31,203,365,"2,800",769,"1,878",153
,City of Troy,"49,898",371,1,14,145,211,"1,985",593,"1,305",87
,Total area actually reporting,100.0%,"2,338",24,131,716,"1,467","20,175","3,738","15,787",650
,"Rate per 100,000 inhabitants",,266.6,2.7,14.9,81.7,167.3,"2,300.8",426.3,"1,800.4",74.1
"Albuquerque, NM M.S.A.",,"902,627", ,,,,, ,,,
,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,
,City of Albuquerque,"558,165","4,325",37,439,"1,046","2,803","30,531","7,297","20,229","3,005"
,Total area actually reporting,89.8%,"5,927",50,527,"1,183","4,167","36,830","9,466","23,767","3,597"
,Estimated total,100.0%,"6,700",53,573,"1,239","4,835","40,471","10,350","26,272","3,849"
,"Rate per 100,000 inhabitants",,742.3,5.9,63.5,137.3,535.7,"4,483.7","1,146.7","2,910.6",426.4
"Alexandria, LA M.S.A.",,"154,678", ,,,,, ,,,
,Includes Grant and Rapides Parishes,,,,,,,,,,
,City of Alexandria,"48,488",803,6,11,156,630,"3,880","1,130","2,561",189
,Total area actually reporting,94.5%,"1,189",11,46,181,951,"7,029","1,967","4,642",420
,Estimated total,100.0%,"1,228",12,48,188,980,"7,387","2,033","4,922",432
,"Rate per 100,000 inhabitants",,793.9,7.8,31.0,121.5,633.6,"4,775.7","1,314.3","3,182.1",279.3
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",,"828,654",,,,,,,,,
,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",,,,,,,,,,
,"City of Allentown, PA","119,277",628,12,64,329,223,"4,324","1,263","2,724",337
,"City of Bethlehem, PA","75,135",183,4,27,74,78,"2,010",365,"1,601",44
,Total area actually reporting,99.9%,"1,536",24,170,540,802,"18,173","3,723","13,649",801
,Estimated total,100.0%,"1,536",24,170,540,802,"18,180","3,724","13,655",801
,"Rate per 100,000 inhabitants",,185.4,2.9,20.5,65.2,96.8,"2,193.9",449.4,"1,647.9",96.7
"Altoona, PA M.S.A.",,"127,076", ,,,,, ,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,"46,103",131,2,25,29,75,"1,035",259,733,43
,Total area actually reporting,99.0%,268,2,36,33,197,"2,146",393,"1,680",73
,Estimated total,100.0%,271,2,36,34,199,"2,168",396,"1,698",74
,"Rate per 100,000 inhabitants",,213.3,1.6,28.3,26.8,156.6,"1,706.1",311.6,"1,336.2",58.2
"Amarillo, TX M.S.A.",,"260,305", ,,,,, ,,,
,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties",,,,,,,,,,
,City of Amarillo,"196,577","1,286",9,214,242,821,"8,154","1,816","5,643",695
,Total area actually reporting,100.0%,"1,365",9,221,250,885,"8,919","1,998","6,178",743
,"Rate per 100,000 inhabitants",,524.4,3.5,84.9,96.0,340.0,"3,426.4",767.6,"2,373.4",285.4
"Ames, IA M.S.A.",,"91,897", ,,,,, ,,,
,Includes Story County,,,,,,,,,,
,City of Ames,"61,193",88,0,34,11,43,"1,439",224,"1,181",34
,Total area actually reporting,92.7%,127,0,46,14,67,"1,832",310,"1,470",52
,Estimated total,100.0%,140,0,48,15,77,"1,949",331,"1,561",57
,"Rate per 100,000 inhabitants",,152.3,0.0,52.2,16.3,83.8,"2,120.9",360.2,"1,698.6",62.0
"Anchorage, AK M.S.A.",,"314,553", ,,,,, ,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,"299,455","2,435",14,408,522,"1,491","12,032","1,318","9,845",869
,Total area actually reporting,100.0%,"2,497",15,419,528,"1,535","13,047","1,398","10,722",927
,"Rate per 100,000 inhabitants",,793.8,4.8,133.2,167.9,488.0,"4,147.8",444.4,"3,408.6",294.7
"Ann Arbor, MI M.S.A.",,"353,189", ,,,,, ,,,
,Includes Washtenaw County,,,,,,,,,,
,City of Ann Arbor,"116,799",247,3,48,49,147,"2,525",410,"2,021",94
,Total area actually reporting,100.0%,"1,079",11,187,161,720,"7,409","1,508","5,525",376
,"Rate per 100,000 inhabitants",,305.5,3.1,52.9,45.6,203.9,"2,097.7",427.0,"1,564.3",106.5
"Anniston-Oxford-Jacksonville, AL M.S.A.",,"116,893",,,,,,,,,
,Includes Calhoun County,, ,,,,,,,,
,City of Anniston,"22,648",461,5,39,78,339,"1,988",770,"1,120",98
,City of Oxford,"17,121",50,2,6,6,36,910,166,704,40
,City of Jacksonville,"12,385",35,0,3,10,22,589,137,439,13
,Total area actually reporting,100.0%,622,8,64,103,447,"4,369","1,366","2,814",189
,"Rate per 100,000 inhabitants",,532.1,6.8,54.8,88.1,382.4,"3,737.6","1,168.6","2,407.3",161.7
"Appleton, WI M.S.A.",,"229,465", ,,,,, ,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,"73,141",176,1,28,14,133,"1,304",186,"1,088",30
,Total area actually reporting,100.0%,285,1,38,19,227,"3,178",459,"2,651",68
,"Rate per 100,000 inhabitants",,124.2,0.4,16.6,8.3,98.9,"1,385.0",200.0,"1,155.3",29.6
"Athens-Clarke County, GA M.S.A.",,"197,437", ,,,,, ,,,
,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",,,,,,,,,,
,City of Athens-Clarke County,"120,122",404,2,37,125,240,"4,074",967,"2,912",195
,Total area actually reporting,99.4%,534,2,52,133,347,"6,035","1,376","4,388",271
,Estimated total,100.0%,537,2,52,134,349,"6,080","1,384","4,422",274
,"Rate per 100,000 inhabitants",,272.0,1.0,26.3,67.9,176.8,"3,079.5",701.0,"2,239.7",138.8
"Atlanta-Sandy Springs-Roswell, GA M.S.A.",,"5,511,212",,,,,,,,,
,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",,,,,,,,,,
,City of Atlanta,"451,020","5,517",84,105,"2,363","2,965","27,528","5,938","17,158","4,432"
,City of Sandy Springs,"101,180",186,6,14,105,61,"2,739",526,"2,063",150
,City of Roswell,"95,373",144,1,17,72,54,"2,107",476,"1,556",75
,City of Alpharetta,"63,442",47,2,2,23,20,"1,228",128,"1,074",26
,City of Marietta,"58,893",450,5,12,127,306,"2,499",457,"1,861",181
,Total area actually reporting,99.8%,"21,396",323,"1,074","8,697","11,302","183,047","44,496","119,994","18,557"
,Estimated total,100.0%,"21,444",324,"1,077","8,714","11,329","183,570","44,591","120,386","18,593"
,"Rate per 100,000 inhabitants",,389.1,5.9,19.5,158.1,205.6,"3,330.8",809.1,"2,184.4",337.4
"Atlantic City-Hammonton, NJ M.S.A.",,"276,095", ,,,,, ,,,
,Includes Atlantic County,,,,,,,,,,
,City of Atlantic City,"39,482",685,3,9,367,306,"2,475",393,"2,011",71
,City of Hammonton ,"14,737",8,0,0,1,7,151,47,95,9
,Total area actually reporting,100.0%,"1,225",8,38,520,659,"8,199","1,741","6,226",232
,"Rate per 100,000 inhabitants",,443.7,2.9,13.8,188.3,238.7,"2,969.6",630.6,"2,255.0",84.0
"Augusta-Richmond County, GA-SC M.S.A.",,"579,933", ,,,,, ,,,
,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,98.1%,"1,632",32,169,597,834,"20,805","5,097","14,032","1,676"
,Estimated total,100.0%,"1,672",32,171,612,857,"21,255","5,179","14,369","1,707"
,"Rate per 100,000 inhabitants",,288.3,5.5,29.5,105.5,147.8,"3,665.1",893.0,"2,477.7",294.3
"Austin-Round Rock, TX M.S.A.",,"1,879,235",,,,,,,,,
,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",, ,,,,,,,,
,City of Austin,"859,180","3,123",26,217,763,"2,117","41,667","6,550","32,948","2,169"
,City of Round Rock,"108,577",149,2,24,37,86,"2,428",297,"2,086",45
,Total area actually reporting,99.8%,"5,091",52,436,999,"3,604","59,633","10,017","46,639","2,977"
,Estimated total,100.0%,"5,099",52,437,"1,001","3,609","59,731","10,035","46,713","2,983"
,"Rate per 100,000 inhabitants",,271.3,2.8,23.3,53.3,192.0,"3,178.5",534.0,"2,485.7",158.7
"Bakersfield, CA M.S.A.",,"862,202", ,,,,, ,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,"361,859","1,857",24,43,708,"1,082","16,814","4,605","9,272","2,937"
,Total area actually reporting,100.0%,"4,969",61,171,"1,285","3,452","33,381","10,728","16,851","5,802"
,"Rate per 100,000 inhabitants",,576.3,7.1,19.8,149.0,400.4,"3,871.6","1,244.3","1,954.4",672.9
"Baltimore-Columbia-Towson, MD M.S.A.",,"2,771,247",,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,"622,671","8,725",233,298,"3,734","4,460","30,789","7,391","18,946","4,452"
,Total area actually reporting,100.0%,"17,552",278,647,"6,303","10,324","83,474","16,662","59,726","7,086"
,"Rate per 100,000 inhabitants",,633.4,10.0,23.3,227.4,372.5,"3,012.1",601.2,"2,155.2",255.7
"Bangor, ME M.S.A.",,"153,530", ,,,,, ,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,"32,744",70,3,10,35,22,"1,844",243,"1,564",37
,Total area actually reporting,100.0%,140,6,23,56,55,"4,339",812,"3,439",88
,"Rate per 100,000 inhabitants",,91.2,3.9,15.0,36.5,35.8,"2,826.2",528.9,"2,240.0",57.3
"Barnstable Town, MA M.S.A.",,"215,847", ,,,,, ,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable ,"44,837",302,0,18,30,254,"1,191",289,835,67
,Total area actually reporting,100.0%,941,2,89,78,772,"5,203","1,785","3,219",199
,"Rate per 100,000 inhabitants",,436.0,0.9,41.2,36.1,357.7,"2,410.5",827.0,"1,491.3",92.2
"Baton Rouge, LA M.S.A.",,"819,681", ,,,,, ,,,
,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,
,City of Baton Rouge,"230,212","2,127",49,74,974,"1,030","11,418","3,264","7,648",506
,Total area actually reporting,98.6%,"4,120",83,177,"1,378","2,482","30,660","7,831","21,810","1,019"
,Estimated total,100.0%,"4,173",84,180,"1,388","2,521","31,150","7,921","22,194","1,035"
,"Rate per 100,000 inhabitants",,509.1,10.2,22.0,169.3,307.6,"3,800.3",966.4,"2,707.6",126.3
"Bay City, MI M.S.A.",,"106,781", ,,,,, ,,,
,Includes Bay County,,,,,,,,,,
,City of Bay City,"34,395",217,0,62,21,134,938,210,674,54
,Total area actually reporting,100.0%,316,2,119,29,166,"2,252",502,"1,636",114
,"Rate per 100,000 inhabitants",,295.9,1.9,111.4,27.2,155.5,"2,109.0",470.1,"1,532.1",106.8
"Beaumont-Port Arthur, TX M.S.A.",,"406,050",,,,,,,,,
,"Includes Hardin, Jefferson, Newton, and Orange Counties",, ,,,,,,,,
,City of Beaumont,"118,177","1,225",16,59,419,731,"6,192","1,922","3,987",283
